crop,pest_common_name,pest_scientific_name,pest_order,pest_family,pest_distribution
"Jackfruit, Artocarpus heterophyllus",breadfruit fruitfly,Dacus umbrosus F.,Diptera,Tephritidae,B=x
"Jackfruit, Artocarpus heterophyllus",california red scale,Aonidiella aurantii (Maskell),Homoptera,Diaspididae,B=?T=?M=?
"Jackfruit, Artocarpus heterophyllus",green shield scale,Chloropulvinaria psidii Maskell,Homoptera,Coccidae,B=xT=xP=xK=xM=x
"Jackfruit, Artocarpus heterophyllus",latania scale,Hemiberlesia lataniae (Signoret),Homoptera,Diaspididae,B=xY=xT=xP=xK=xM=x
"Jackfruit, Artocarpus heterophyllus",red wax scale,Ceroplastes rubens Maskell,Homoptera,Coccidae,B=xY=nM=x
"Jackfruit, Artocarpus heterophyllus",seychelles scale,Icerya seychellarum (Westwood),Homoptera,Margarodidae,B=?Y=x
"Jackfruit, Artocarpus heterophyllus",striped mealybug,Ferrisia virgata (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
"Kamani, Calophyllum inophyllum",derbid planthopper,Lamenia caliginea Stål,Homoptera,Derbidae,B=xY=xT=xP=xK=xM=x
"Kamani, Calophyllum inophyllum",kamani psyllid,Leptynoptera sulfurea Crawford,Homoptera,Psyllidae,B=xY=xP=xK=xM=G
"Kamani, Calophyllum inophyllum",palm scale,Hemiberlesia palmae (Cockerell),Homoptera,Diaspididae,B=xY=xT=YP=xK=xM=x
"Kamani, Calophyllum inophyllum",weevil,Trigonops inusitata Zimmerman,Coleoptera,Curculionidae,M=G
"Lemon, etc., Citrus",acuminate scale,Kilifia acuminata (Signoret),Homoptera,Coccidae,"M=G,R"
"Lemon, etc., Citrus",black citrus aphid,Toxoptera aurantii (Boyer de Fonscombe),Homoptera,Aphididae,T=xM=x
"Lemon, etc., Citrus",black citrus swallowtail,Papilio polytes L.,Lepidoptera,Papilionidae,B=xY=xM=x
"Lemon, etc., Citrus",black parlatoria scale,Parlatoria zizyphus (Lucas),Homoptera,Diaspididae,B=xT=nP=x
"Lemon, etc., Citrus",black scale,Saissetia  ?oleae (Bernard),Homoptera,Coccidae,B=xT=xM=x
"Lemon, etc., Citrus",brown soft scale,Coccus hesperidum L.,Homoptera,Coccidae,B=xY=xT=xM=x
"Lemon, etc., Citrus",california red scale,Aonidiella aurantii (Maskell),Homoptera,Diaspididae,B=?T=?M=?
"Lemon, etc., Citrus",carmine spider mite,Tetranychus cinnabarinus (Boisd.),Acari,Tetranychidae,M=x
"Lemon, etc., Citrus",chaff scale,Parlatoria pergandii Comstock,Homoptera,Diaspididae,T=xP=x
"Lemon, etc., Citrus",citrus bark borer,Agrilus occipitalis (Eschscholtz),Coleoptera,Buprestidae,M=x
"Lemon, etc., Citrus",citrus flower moth,Prays citri Mill,Lepidoptera,Yponomeutidae,B=xY=xM=C
"Lemon, etc., Citrus",citrus leaf miner,Phyllocnistis citrella Stainton,Lepidoptera,Phyllocnistidae,B=xY=nM=x
"Lemon, etc., Citrus",citrus leaf mite,Eotetranychus cendanai Rimando,Acari,Tetranychidae,M=G
"Lemon, etc., Citrus",citrus mealybug,Planococcus citri (Risso),Homoptera,Pseudococcidae,B=xY=xT=xP=xK=xM=x
"Lemon, etc., Citrus",citrus snow scale,Unaspis citri (Comstock),Homoptera,Diaspididae,P=x
"Lemon, etc., Citrus",cloudywinged whitefly,Dialeurodes citrifolii (Morgan),Homoptera,Aleyrodidae,P=n
"Lemon, etc., Citrus",coconut scale,Aspidiotus destructor Signoret,Homoptera,Diaspididae,B=xY=xT=xP=xM=x
"Lemon, etc., Citrus",cotton or melon aphid,Aphis gossypii Glover,Homoptera,Aphididae,B=xY=xT=xP=xK=xM=x
"Lemon, etc., Citrus",cottony-cushion scale,Icerya purchasi Maskell,Homoptera,Margarodidae,M=G
"Lemon, etc., Citrus",cowpea aphid,Aphis craccivora Koch,Homoptera,Aphididae,Y=xT=xP=xK=xM=x
"Lemon, etc., Citrus",dictyospermum scale,Chrysomphalus dictyospermi (Morgan),Homoptera,Diaspididae,B=xT=xM=x
"Lemon, etc., Citrus",egyptian fluted scale,Icerya aegyptiaca (Douglas),Homoptera,Margarodidae,B=xY=xT=xP=xM=x
"Lemon, etc., Citrus",false yellow scale,Aonidiella comperei Mckenzie,Homoptera,Diaspididae,B=xY=xT=xM=x
"Lemon, etc., Citrus",florida red scale,Chrysomphalus aonidum (L.),Homoptera,Diaspididae,P=x
"Lemon, etc., Citrus",florida wax scale,Ceroplastes floridensis Comstock,Homoptera,Coccidae,B=xP=xM=x
"Lemon, etc., Citrus",fruit piercing moth,Eudocima (Othreis) fullonia (Clerck),Lepidoptera,Noctuidae,B=nP=nK=nM=x
"Lemon, etc., Citrus",fruitfly,Dacus frauenfeldi Schiner,Diptera,Tephritidae,B=xY=xT=xP=xK=x
"Lemon, etc., Citrus",glover scale,Lepidosaphes gloverii (Packard),Homoptera,Diaspididae,Y=nT=xP=xM=S
"Lemon, etc., Citrus",green citrus aphid,Aphis citricola van der Goot,Homoptera,Aphididae,M=G?
"Lemon, etc., Citrus",green mealybug,Pseudococcus citriculus Green,Homoptera,Pseudococcidae,B=xP=x
"Lemon, etc., Citrus",green scale,Coccus viridis (Green),Homoptera,Coccidae,B=xY=xT=xP=xK=nM=x
"Lemon, etc., Citrus",hemispherical scale,Saissetia coffeae (Walker),Homoptera,Coccidae,B=xY=xT=xP=xM=x
"Lemon, etc., Citrus",inornate scale,Aonidiella inornata Mackenzie,Homoptera,Diaspididae,B=xY=xT=xP=xK=xM=G
"Lemon, etc., Citrus",latania scale,Hemiberlesia lataniae (Signoret),Homoptera,Diaspididae,B=xY=xT=xP=xK=xM=x
"Lemon, etc., Citrus",leaf-footed plant bug,Leptoglossus australis (F.),Hemiptera,Coreidae,B=xP=xM=x
"Lemon, etc., Citrus",lilac mealybug,Planococcus lilacinus (Cockerell),Homoptera,Pseudococcidae,M=G
"Lemon, etc., Citrus",litchi fruit moth,Cryptophlebia ombrodelta (Lower),Lepidoptera,Tortricidae,B=xM=x
"Lemon, etc., Citrus",long brown scale,Coccus longulus (Douglas),Homoptera,Coccidae,B=xM=x
"Lemon, etc., Citrus",long-tailed mealybug,Pseudococcus longispinus (Targioni-Tozzetti),Homoptera,Pseudococcidae,T=?
"Lemon, etc., Citrus",mango flower beetle,Protaetia fusca (Herbst),Coleoptera,Scarabaeidae,M=G
"Lemon, etc., Citrus",mealybug,Pseudococcus trukensis Beardsley,Homoptera,Pseudococcidae,T=xP=x
"Lemon, etc., Citrus",nigra scale,Parasaissetia nigra (Nietner),Homoptera,Coccidae,B=xY=xT=xK=xM=x
"Lemon, etc., Citrus",orange spiny whitefly,Aleurocanthus spiniferus (Quaintance),Homoptera,Aleyrodidae,Y=nT=xP=nK=nM=x
"Lemon, etc., Citrus",orange tip moth,Adoxophyes fasciculana (Walker),Lepidoptera,Tortricidae,K=x
"Lemon, etc., Citrus",palm scale,Hemiberlesia palmae (Cockerell),Homoptera,Diaspididae,B=xY=xT=YP=xK=xM=x
"Lemon, etc., Citrus",phytorus leaf beetle,Phytorus lineolatus Weise,Coleoptera,Chrysomelidae,M=x
"Lemon, etc., Citrus",proteus scale,Parlatoria proteus (Curtis),Homoptera,Diaspididae,B=xY=xT=xP=xK=xM=G
"Lemon, etc., Citrus",purple scale,Lepidosaphes beckii (Newman),Homoptera,Diaspididae,T=xP=xM=G
"Lemon, etc., Citrus",red wax scale,Ceroplastes rubens Maskell,Homoptera,Coccidae,B=xY=nM=x
"Lemon, etc., Citrus",scale,Abgrallaspis palmae (Cockerell),Homoptera,Diaspididae,K=x
"Lemon, etc., Citrus",scale,Aspidiotus excisus Green,Homoptera,Diaspididae,B=xM=C
"Lemon, etc., Citrus",scale,Lepidosaphes similis Beardsley,Homoptera,Diaspididae,B=xY=xP=xM=x
"Lemon, etc., Citrus",scale,Lepidosaphes similis Beardsley,Homoptera,Diaspididae,B=xY=xP=xM=x
"Lemon, etc., Citrus",seychelles scale,Icerya seychellarum (Westwood),Homoptera,Margarodidae,B=?Y=x
"Lemon, etc., Citrus",spiralling whitefly,Aleurodicus dispersus Russell,Homoptera,Aleyrodidae,B=nP=nM=x
"Lemon, etc., Citrus",steatococcus scale,Steatococcus samaraius Morrison,Homoptera,Margarodidae,B=xY=xM=G
"Lemon, etc., Citrus",stellate scale,Vinsonia stellifera Westwood,Homoptera,Coccidae,B=xY=nP=xK=n
"Lemon, etc., Citrus",striped mealybug,Ferrisia virgata (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
"Lemon, etc., Citrus",tortricid moth,Cryptophlebia peltastica (Meyrick),Lepidoptera,Tortricidae,M=G
"Lemon, etc., Citrus",tropical grey chaff scale,Parlatoria cinerea Hadden,Homoptera,Diaspididae,M=x
"Lemon, etc., Citrus",weevil,Daealus sp. ,Coleoptera,Curculionidae,M=C
"Lemon, etc., Citrus",wood borer,Chrysobothris costata Kerremans,Coleoptera,Buprestidae,M=G
"Lemon, etc., Citrus",woolly whitefly,Aleurothrixus floccosus (Maskell),Homoptera,Aleyrodidae,M=G
"Maize or corn, Zea mays",asian corn borer,Ostrinia furnacalis (Guenée),Lepidoptera,Pyralidae,B=xM=x
"Maize or corn, Zea mays",brown-winged short-horned grasshopper ,Aiolopus thalassinus dubius Willemse,Orthoptera,Acrididae,M=x
"Maize or corn, Zea mays",chafer beetle,Anomala sulcatula Burmeister,Coleoptera,Scarabaeidae,M=x
"Maize or corn, Zea mays",chinese rose beetle,Adoretus sinicus Burmeister,Coleoptera,Scarabaeidae,B=xM=x
"Maize or corn, Zea mays",corn delphacid,Peregrinus maidis (Ashmead),Homoptera,Delphacidae,B=xY=xM=x
"Maize or corn, Zea mays","corn earworm, tomato fruitworm",Heliothis zea (Boddie),Lepidoptera,Noctuidae,B=x?M=x?
"Maize or corn, Zea mays",corn leaf aphid,Rhopalosiphum maidis (Fitch),Homoptera,Aphididae,B=xY=xT=xP=xM=x
"Maize or corn, Zea mays",evening brown butterfly,Melanitis leda (L.),Lepidoptera,Satyridae,B=xY=xT=xP=xK=xM=x
"Maize or corn, Zea mays",green garden looper,Chrysodeixis chalcites (Esper),Lepidoptera,Noctuidae,B=nM=x
"Maize or corn, Zea mays",japanese grasshopper,Oxya japonica (Thunberg),Orthoptera,Acrididae,B=nM=C
"Maize or corn, Zea mays",javanese grasshopper,Valanga nigricornis (Burmeister),Orthoptera,Acrididae,B=xY=xT=x
"Maize or corn, Zea mays",large short-horn grasshopper ,Valanga excavata Stål,Orthoptera,Acrididae,M=x
"Maize or corn, Zea mays",lawn armyworm,Spodoptera mauritia Guenée,Lepidoptera,Noctuidae,M=x
"Maize or corn, Zea mays",leafhopper,Cicadulina bipunctella (Matsumura),Homoptera,Cicadellidae,B=xY=xM=x
"Maize or corn, Zea mays",long-horned grasshopper,Conocephalus longipennis (Haan),Orthoptera,Tettigoniidae,T=xP=xK=xM=x
"Maize or corn, Zea mays",maize leafminer,Pseudonapomyza spicata (Malloch),Diptera,Agromyzidae,B=xY=xP=?M=x
"Maize or corn, Zea mays",maize leafroller,Marasmia trapezalis (Guenée),Lepidoptera,Pyralidae,B=xM=x
"Maize or corn, Zea mays",mango flower beetle,Protaetia fusca (Herbst),Coleoptera,Scarabaeidae,M=G
"Maize or corn, Zea mays",migratory locust,Locusta migratoria manilensis (Meyen),Orthoptera,Acrididae,M=x
"Maize or corn, Zea mays",mindanao June beetle,Phyllophaga bipunctata (Brenske),Coleoptera,Scarabaeidae,M=G
"Maize or corn, Zea mays",old world bollworm,Heliothis armigera (Hübner),Lepidoptera,Noctuidae,M=x
"Maize or corn, Zea mays",oriental flower beetle,Protaetia orientalis (Gory &amp; Percheron),Coleoptera,Scarabaeidae,M=G
"Maize or corn, Zea mays",pink sugarcane mealybug,Saccharicoccus sacchari (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
"Maize or corn, Zea mays",rice cutworm,Spodoptera litura (F.),Lepidoptera,Noctuidae,B=xY=?T=xP=xK=?M=x
"Maize or corn, Zea mays",rice weevil,Sitophilus oryzae (L.),Coleoptera,Curculionidae,M=G
"Maize or corn, Zea mays",smaller rice grasshopper,Oxya hyla Audinet-Serville,Orthoptera,Acrididae,Y=nT=nP=nK=n
"Maize or corn, Zea mays",southern green stink bug,Nezara viridula (L.),Hemiptera,Pentatomidae,B=xY=xT=xP=xM=x
"Maize or corn, Zea mays",striped mealybug,Ferrisia virgata (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
"Maize or corn, Zea mays",sweetpotato whitefly,Bemisia tabaci (Gennadius),Homoptera,Aleyrodidae,B=xP=?M=x
"Maize or corn, Zea mays",sweetpotato yellow bug,Creontiades pallidifer (Walker),Hemiptera,Miridae,B=xY=xT=xP=xM=x
"Mango, Mangifera indica",acuminate scale,Kilifia acuminata (Signoret),Homoptera,Coccidae,"M=G,R"
"Mango, Mangifera indica",black thread scale,Ischnaspis longirostris (Signoret),Homoptera,Diaspididae,B=xM=G
"Mango, Mangifera indica",brown pineapple scale,Melanaspis bromeliae (Leonardi),Homoptera,Diaspididae,P=xM=G
"Mango, Mangifera indica",brown soft scale,Coccus hesperidum L.,Homoptera,Coccidae,B=xY=xT=xM=x
"Mango, Mangifera indica",coccid scale,Coccus moestus De Lotto,Homoptera,Coccidae,B=xT=xM=x
"Mango, Mangifera indica",coconut scale,Aspidiotus destructor Signoret,Homoptera,Diaspididae,B=xY=xT=xP=xM=x
"Mango, Mangifera indica",cottony-cushion scale,Icerya purchasi Maskell,Homoptera,Margarodidae,M=G
"Mango, Mangifera indica",cowpea aphid,Aphis craccivora Koch,Homoptera,Aphididae,Y=xT=xP=xK=xM=x
"Mango, Mangifera indica",derbid planthopper,Lamenia caliginea Stål,Homoptera,Derbidae,B=xY=xT=xP=xK=xM=x
"Mango, Mangifera indica",dictyospermum scale,Chrysomphalus dictyospermi (Morgan),Homoptera,Diaspididae,B=xT=xM=x
"Mango, Mangifera indica",florida red scale,Chrysomphalus aonidum (L.),Homoptera,Diaspididae,P=x
"Mango, Mangifera indica",florida wax scale,Ceroplastes floridensis Comstock,Homoptera,Coccidae,B=xP=xM=x
"Mango, Mangifera indica",fruit piercing moth,Eudocima (Othreis) fullonia (Clerck),Lepidoptera,Noctuidae,B=nP=nK=nM=x
"Mango, Mangifera indica",fruitfly,Dacus frauenfeldi Schiner,Diptera,Tephritidae,B=xY=xT=xP=xK=x
"Mango, Mangifera indica",green scale,Coccus viridis (Green),Homoptera,Coccidae,B=xY=xT=xP=xK=nM=x
"Mango, Mangifera indica",green shield scale,Chloropulvinaria psidii Maskell,Homoptera,Coccidae,B=xT=xP=xK=xM=x
"Mango, Mangifera indica",greenhouse thrips,Heliothrips haemorrhoidalis (Bouché),Thysanoptera,Thripidae,M=G
"Mango, Mangifera indica",inday scale,Phenacaspis inday (Banks),Homoptera,Diaspididae,B=xY=xM=G
"Mango, Mangifera indica",latania scale,Hemiberlesia lataniae (Signoret),Homoptera,Diaspididae,B=xY=xT=xP=xK=xM=x
"Mango, Mangifera indica",long-tailed mealybug,Pseudococcus longispinus (Targioni-Tozzetti),Homoptera,Pseudococcidae,T=?
"Mango, Mangifera indica",mango flower beetle,Protaetia fusca (Herbst),Coleoptera,Scarabaeidae,M=G
"Mango, Mangifera indica",mango leaf beetle,Rhyparida carolina Chujo,Coleoptera,Chrysomelidae,T=xP=xK=x
"Mango, Mangifera indica",mango scale,Radionaspis indica (Marlatt),Homoptera,Diaspididae,B=x
"Mango, Mangifera indica",mango seed weevil,Sternochetus mangiferae (F.),Coleoptera,Curculionidae,M=C
"Mango, Mangifera indica",mango shoot caterpillar,Penicillaria jocosatrix Guenée,Lepidoptera,Noctuidae,T=nP=nM=G
"Mango, Mangifera indica",mango shoot looper,Anisodes illepidaria Guenée,Lepidoptera,Geometridae,M=G
"Mango, Mangifera indica",mango soft scale,Coccus mangiferae (Green),Homoptera,Coccidae,B=x
"Mango, Mangifera indica",oleander pit scale,Asterolecanium pustulans (Cockerell),Homoptera,Asterolecaniidae,B=xT=xM=G
"Mango, Mangifera indica",oriental flower beetle,Protaetia orientalis (Gory &amp; Percheron),Coleoptera,Scarabaeidae,M=G
"Mango, Mangifera indica",palm scale,Hemiberlesia palmae (Cockerell),Homoptera,Diaspididae,B=xY=xT=YP=xK=xM=x
"Mango, Mangifera indica",phytorus leaf beetle,Phytorus lineolatus Weise,Coleoptera,Chrysomelidae,M=x
"Mango, Mangifera indica",proteus scale,Parlatoria proteus (Curtis),Homoptera,Diaspididae,B=xY=xT=xP=xK=xM=G
"Mango, Mangifera indica",red wax scale,Ceroplastes rubens Maskell,Homoptera,Coccidae,B=xY=nM=x
"Mango, Mangifera indica",redbanded thrips,Selenothrips rubrocinctus (Giard),Thysanoptera,Thripidae,B=nY=nT=nP=x?M=x
"Mango, Mangifera indica",scale,Aspidiotus spinosus Comstock,Homoptera,Diaspididae,Y=x
"Mango, Mangifera indica",scale,Kilifia deltoides DeLotto,Homoptera,Coccidae,B=x
"Mango, Mangifera indica",scale,Lepidosaphes similis Beardsley,Homoptera,Diaspididae,B=xY=xP=xM=x
"Mango, Mangifera indica",scale,Lepidosaphes similis Beardsley,Homoptera,Diaspididae,B=xY=xP=xM=x
"Mango, Mangifera indica",scale,Semelaspidus mangiferae Takahashi,Homoptera,Diaspididae,B=x
"Mango, Mangifera indica",seed weevil,Cryptorhynchus mangiferae (F.),Coleoptera,Curculionidae,M=G
"Mango, Mangifera indica",seychelles scale,Icerya seychellarum (Westwood),Homoptera,Margarodidae,B=?Y=x
"Mango, Mangifera indica",spiralling whitefly,Aleurodicus dispersus Russell,Homoptera,Aleyrodidae,B=nP=nM=x
"Mango, Mangifera indica",stellate scale,Vinsonia stellifera Westwood,Homoptera,Coccidae,B=xY=nP=xK=n
"Mango, Mangifera indica",striped mealybug,Ferrisia virgata (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
"Mango, Mangifera indica",tessellated scale,Eucalymnatus tessellatus (Signoret),Homoptera,Coccidae,B=xY=nT=xP=xK=x
"Mango, Mangifera indica",tortricid moth,Dudua aprobola (Meyrick),Lepidoptera,Tortricidae,K=xM=x
"Mango, Mangifera indica",tropical grey chaff scale,Parlatoria cinerea Hadden,Homoptera,Diaspididae,M=x
"Mango, Mangifera indica",white scale,Pinnaspis sp. ,Homoptera,Diaspididae,M=G
"Mountain apple, Eugenia malaccensis",eugenia psyllid,Trioza vitiensis Kirkaldy,Homoptera,Psyllidae,B=xT=?P=x
"Mountain apple, Eugenia malaccensis",fruitfly,Dacus frauenfeldi Schiner,Diptera,Tephritidae,B=xY=xT=xP=xK=x
"Mountain apple, Eugenia malaccensis",ochrosia fruit fly,Dacus ochrosiae Malloch,Diptera,Tephritidae,M=x
"Okra, Abelmoschus esculentus",chinese rose beetle,Adoretus sinicus Burmeister,Coleoptera,Scarabaeidae,B=xM=x
"Okra, Abelmoschus esculentus",cotton or melon aphid,Aphis gossypii Glover,Homoptera,Aphididae,B=xY=xT=xP=xK=xM=x
"Okra, Abelmoschus esculentus",green garden looper,Chrysodeixis chalcites (Esper),Lepidoptera,Noctuidae,B=nM=x
"Okra, Abelmoschus esculentus",hemispherical scale,Saissetia coffeae (Walker),Homoptera,Coccidae,B=xY=xT=xP=xM=x
"Okra, Abelmoschus esculentus",hibiscus caterpillar,Anomis flava (F.),Lepidoptera,Noctuidae,B=xY=xM=x
"Okra, Abelmoschus esculentus",hibiscus psyllid,Mesohomotoma hibisci (Froggatt),Homoptera,Psyllidae,B=xY=xP=xK=xM=x
"Okra, Abelmoschus esculentus",indian cotton jassid,Sundapteryx biguttula (Ishida),Homoptera,Cicadellidae,B=?M=GS
"Okra, Abelmoschus esculentus",okra caterpillar,Anomis erosa Hübner,Lepidoptera,Noctuidae,B=xY=xM=?
"Okra, Abelmoschus esculentus",old world bollworm,Heliothis armigera (Hübner),Lepidoptera,Noctuidae,M=x
"Okra, Abelmoschus esculentus",onion thrips,Thrips tabaci Lindeman,Thysanoptera,Thripidae,B=xY=xM=x
"Okra, Abelmoschus esculentus",rice cutworm,Spodoptera litura (F.),Lepidoptera,Noctuidae,B=xY=?T=xP=xK=?M=x
"Okra, Abelmoschus esculentus",southern green stink bug,Nezara viridula (L.),Hemiptera,Pentatomidae,B=xY=xT=xP=xM=x
"Okra, Abelmoschus esculentus",spotted or cotton bollworm? ,Earias vitella (F.),Lepidoptera,Noctuidae,B=xM=?
"Okra, Abelmoschus esculentus",striped mealybug,Ferrisia virgata (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
"Okra, Abelmoschus esculentus",sweetpotato whitefly,Bemisia tabaci (Gennadius),Homoptera,Aleyrodidae,B=xP=?M=x
"Okra, Abelmoschus esculentus",white-banded grasshopper,Stenocatantops splendens (Thunberg),Orthoptera,Acrididae,M=G
"Onion, Allium cepa",cacao armyworm,Tiracola plagiata (Walker),Lepidoptera,Noctuidae,M=x
"Onion, Allium cepa",carmine spider mite,Tetranychus cinnabarinus (Boisd.),Acari,Tetranychidae,M=x
"Onion, Allium cepa",cotton or melon aphid,Aphis gossypii Glover,Homoptera,Aphididae,B=xY=xT=xP=xK=xM=x
"Onion, Allium cepa",grasshopper,Atractomorpha psittacina Haan,Orthoptera,Pyrgomorphidae,M=G
"Onion, Allium cepa",green peach aphid,Myzus persicae (Sulzer),Homoptera,Aphididae,M=S
"Onion, Allium cepa",onion thrips,Thrips tabaci Lindeman,Thysanoptera,Thripidae,B=xY=xM=x
"Onion, Allium cepa",rice cutworm,Spodoptera litura (F.),Lepidoptera,Noctuidae,B=xY=?T=xP=xK=?M=x
"Onion, Allium cepa",serpentine leafminer,Liriomyza trifolii (Burgess),Diptera,Agromyzidae,Y=nP=nM=GS?
"Onion, Allium cepa",vegetable leafminer,Liriomyza sativae Blanchard,Diptera,Agromyzidae,M=G
"Papaya, Carica papaya",bisect papaya fruitfly,Hendelina bisecta Hardy &amp; Adachi,Diptera,Tephritidae,M=x
"Papaya, Carica papaya",broad mite,Polyphagotarsonemus latus (Banks),Acari,Tarsonemidae,M=x
"Papaya, Carica papaya",carmine spider mite,Tetranychus cinnabarinus (Boisd.),Acari,Tetranychidae,M=x
"Papaya, Carica papaya",citrus mealybug,Planococcus citri (Risso),Homoptera,Pseudococcidae,B=xY=xT=xP=xK=xM=x
"Papaya, Carica papaya",coconut scale,Aspidiotus destructor Signoret,Homoptera,Diaspididae,B=xY=xT=xP=xM=x
"Papaya, Carica papaya",cotton or melon aphid,Aphis gossypii Glover,Homoptera,Aphididae,B=xY=xT=xP=xK=xM=x
"Papaya, Carica papaya",cottony-cushion scale,Icerya purchasi Maskell,Homoptera,Margarodidae,M=G
"Papaya, Carica papaya",egyptian fluted scale,Icerya aegyptiaca (Douglas),Homoptera,Margarodidae,B=xY=xT=xP=xM=x
"Papaya, Carica papaya",false yellow scale,Aonidiella comperei Mckenzie,Homoptera,Diaspididae,B=xY=xT=xM=x
"Papaya, Carica papaya",green peach aphid,Myzus persicae (Sulzer),Homoptera,Aphididae,M=S
"Papaya, Carica papaya",lemniscate papaya fruitfly,Euphranta lemniscata (Enderlen),Diptera,Tephritidae,M=C
"Papaya, Carica papaya",long brown scale,Coccus longulus (Douglas),Homoptera,Coccidae,B=xM=x
"Papaya, Carica papaya",mirid,Fulvius angustatus Usinger,Hemiptera,Miridae,M=x
"Papaya, Carica papaya",nigra scale,Parasaissetia nigra (Nietner),Homoptera,Coccidae,B=xY=xT=xK=xM=x
"Papaya, Carica papaya",orange tip moth,Adoxophyes fasciculana (Walker),Lepidoptera,Tortricidae,K=x
"Papaya, Carica papaya",oriental flower beetle,Protaetia orientalis (Gory &amp; Percheron),Coleoptera,Scarabaeidae,M=G
"Papaya, Carica papaya",redbanded thrips,Selenothrips rubrocinctus (Giard),Thysanoptera,Thripidae,B=nY=nT=nP=x?M=x
"Papaya, Carica papaya",scale,Aspidiotus excisus Green,Homoptera,Diaspididae,B=xM=C
"Papaya, Carica papaya",seychelles scale,Icerya seychellarum (Westwood),Homoptera,Margarodidae,B=?Y=x
"Papaya, Carica papaya",spider mite,Tetranychus truncatus Ehara,Acari,Tetranychidae,M=G
"Papaya, Carica papaya",striped mealybug,Ferrisia virgata (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
"Pineapple, Ananas comosus",boisduval scale,Diaspis boisduvalii Signoret,Homoptera,Diaspididae,B=x
"Pineapple, Ananas comosus",brown pineapple scale,Melanaspis bromeliae (Leonardi),Homoptera,Diaspididae,P=xM=G
"Pineapple, Ananas comosus",citrus mealybug,Planococcus citri (Risso),Homoptera,Pseudococcidae,B=xY=xT=xP=xK=xM=x
"Pineapple, Ananas comosus",grey pineapple mealybug,Dysmicoccus neobrevipes Beardsley,Homoptera,Pseudococcidae,M=x
"Pineapple, Ananas comosus",long-tailed mealybug,Pseudococcus longispinus (Targioni-Tozzetti),Homoptera,Pseudococcidae,T=?
"Pineapple, Ananas comosus",oceanic field cricket,Teleogryllus oceanicus (Le Guill.),Orthoptera,Gryllidae,M=G
"Pineapple, Ananas comosus",onion thrips,Thrips tabaci Lindeman,Thysanoptera,Thripidae,B=xY=xM=x
"Pineapple, Ananas comosus",pineapple mealybug,Dysmicoccus brevipes (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
"Pineapple, Ananas comosus",pineapple scale,Diaspis bromeliae (Kerner),Homoptera,Diaspididae,P=xM=x
"Pineapple, Ananas comosus",white-banded grasshopper,Stenocatantops splendens (Thunberg),Orthoptera,Acrididae,M=G
"Pomegranate, Punica granatum",castor semilooper,Achaea janata (L.),Lepidoptera,Noctuidae,M=G
"Pomegranate, Punica granatum",fruit piercing moth,Eudocima (Othreis) fullonia (Clerck),Lepidoptera,Noctuidae,B=nP=nK=nM=x
"Pomegranate, Punica granatum",lilac mealybug,Planococcus lilacinus (Cockerell),Homoptera,Pseudococcidae,M=G
"Pomegranate, Punica granatum",striped mealybug,Ferrisia virgata (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
"Potato, Solanum tuberosum",broad mite,Polyphagotarsonemus latus (Banks),Acari,Tarsonemidae,M=x
"Potato, Solanum tuberosum",citrus mealybug,Planococcus citri (Risso),Homoptera,Pseudococcidae,B=xY=xT=xP=xK=xM=x
"Potato, Solanum tuberosum",corn leaf aphid,Rhopalosiphum maidis (Fitch),Homoptera,Aphididae,B=xY=xT=xP=xM=x
"Potato, Solanum tuberosum",cotton or melon aphid,Aphis gossypii Glover,Homoptera,Aphididae,B=xY=xT=xP=xK=xM=x
"Potato, Solanum tuberosum",cowpea aphid,Aphis craccivora Koch,Homoptera,Aphididae,Y=xT=xP=xK=xM=x
"Potato, Solanum tuberosum",green peach aphid,Myzus persicae (Sulzer),Homoptera,Aphididae,M=S
"Potato, Solanum tuberosum",old world bollworm,Heliothis armigera (Hübner),Lepidoptera,Noctuidae,M=x
"Potato, Solanum tuberosum",onion thrips,Thrips tabaci Lindeman,Thysanoptera,Thripidae,B=xY=xM=x
"Potato, Solanum tuberosum",philippine lady beetle,Epilachna vigintisexpunctata philippensis (Dieke),Coleoptera,Coccinellidae,Y=?K=x
"Potato, Solanum tuberosum",serpentine leafminer,Liriomyza trifolii (Burgess),Diptera,Agromyzidae,Y=nP=nM=GS?
"Potato, Solanum tuberosum",southern green stink bug,Nezara viridula (L.),Hemiptera,Pentatomidae,B=xY=xT=xP=xM=x
"Potato, Solanum tuberosum",striped mealybug,Ferrisia virgata (Cockerell),Homoptera,Pseudococcidae,B=xY=xT=xP=xM=x
"Potato, Solanum tuberosum",sweetpotato whitefly,Bemisia tabaci (Gennadius),Homoptera,Aleyrodidae,B=xP=?M=x
